codigo,descricao,segmento
2011800,Fabricação de cloro e álcalis,Indústria
2012600,Fabricação de intermediários para fertilizantes,Indústria
2013400,Fabricação de adubos e fertilizantes,Indústria
2013401,Fabricação de adubos e fertilizantes organo-minerais,Indústria
2013402,"Fabricação de adubos e fertilizantes, exceto organo-minerais",Indústria
2014200,Fabricação de gases industriais,Indústria
2019301,Elaboração de combustíveis nucleares,Outros
2019399,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente,Indústria
2021500,Fabricação de produtos petroquímicos básicos,Indústria
2022300,"Fabricação de intermediários para plastificantes, resinas e fibras",Indústria
2029100,Fabricação de produtos químicos orgânicos não especificados anteriormente,Indústria
2031200,Fabricação de resinas termoplásticas,Indústria
2032100,Fabricação de resinas termofixas,Indústria
2033900,Fabricação de elastômeros,Indústria
2040100,Fabricação de fibras artificiais e sintéticas,Indústria
2051700,Fabricação de defensivos agrícolas,Indústria
2052500,Fabricação de desinfestantes domissanitários,Indústria
2061400,Fabricação de sabões e detergentes sintéticos,Indústria
2062200,Fabricação de produtos de limpeza e polimento,Indústria
2063100,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",Indústria
2071100,"Fabricação de tintas, vernizes, esmaltes e lacas",Indústria
2072000,Fabricação de tintas de impressão,Indústria
2073800,"Fabricação de impermeabilizantes, solventes e produtos afins",Indústria
2091600,Fabricação de adesivos e selantes,Indústria
2092401,"Fabricação de pólvoras, explosivos e detonantes",Indústria
2092402,Fabricação de artigos pirotécnicos,Indústria
2092403,Fabricação de fósforos de segurança,Indústria
2093200,Fabricação de aditivos de uso industrial,Indústria
2094100,Fabricação de catalisadores,Indústria
2099101,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia",Indústria
2099199,Fabricação de outros produtos químicos não especificados anteriormente,Indústria
2110600,Fabricação de produtos farmoquímicos,Indústria
2121101,Fabricação de medicamentos alopáticos para uso humano,Indústria
2121102,Fabricação de medicamentos homeopáticos para uso humano,Indústria
2121103,Fabricação de medicamentos fitoterápicos para uso humano,Indústria
2122000,Fabricação de medicamentos para uso veterinário,Indústria
2123800,Fabricação de preparações farmacêuticas,Indústria
2211100,Fabricação de pneumáticos e de câmaras-de-ar,Indústria
2212900,Reforma de pneumáticos usados,Construção
2219600,Fabricação de artefatos de borracha não especificados anteriormente,Indústria
2221800,Fabricação de laminados planos e tubulares de material plástico,Indústria
2222600,Fabricação de embalagens de material plástico,Indústria
2223400,Fabricação de tubos e acessórios de material plástico para uso na construção,Indústria
2229301,Fabricação de artefatos de material plástico para uso pessoal e doméstico,Indústria
2229302,Fabricação de artefatos de material plástico para usos industriais,Indústria
2229303,"Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios",Indústria
2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,Indústria
2311700,Fabricação de vidro plano e de segurança,Indústria
2312500,Fabricação de embalagens de vidro,Indústria
2319200,Fabricação de artigos de vidro,Indústria
2320600,Fabricação de cimento,Indústria
2330301,"Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",Indústria
2330302,Fabricação de artefatos de cimento para uso na construção,Indústria
2330303,Fabricação de artefatos de fibrocimento para uso na construção,Indústria
2330304,Fabricação de casas pré-moldadas de concreto,Indústria
2330305,Preparação de massa de concreto e argamassa para construção,Serviços
2330399,"Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes",Indústria
2341900,Fabricação de produtos cerâmicos refratários,Indústria
2342701,Fabricação de azulejos e pisos,Indústria
2342702,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",Indústria
2349401,Fabricação de material sanitário de cerâmica,Indústria
2349499,Fabricação de produtos cerâmicos não-refratários não especificados anteriormente,Indústria
2391501,"Britamento de pedras, exceto associado à extração",Outros
2391502,"Aparelhamento de pedras para construção, exceto associado à extração",Construção
2391503,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",Outros
2392300,Fabricação de cal e gesso,Indústria
2399101,"Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal",Indústria
2399102,Fabricação de abrasivos,Indústria
2399199,Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente,Indústria
2411300,Produção de ferro-gusa,Indústria
2412100,Produção de ferroligas,Indústria
2421100,Produção de semi-acabados de aço,Indústria
2422901,"Produção de laminados planos de aço ao carbono, revestidos ou não",Indústria
2422902,Produção de laminados planos de aços especiais,Indústria
2423701,Produção de tubos de aço sem costura,Indústria
2423702,"Produção de laminados longos de aço, exceto tubos",Indústria
2424501,Produção de arames de aço,Indústria
2424502,"Produção de relaminados, trefilados e perfilados de aço, exceto arames",Indústria
2431800,Produção de tubos de aço com costura,Indústria
2439300,Produção de outros tubos de ferro e aço,Indústria
2441501,Produção de alumínio e suas ligas em formas primárias,Indústria
2441502,Produção de laminados de alumínio,Indústria
2442300,Metalurgia dos metais preciosos,Outros
2443100,Metalurgia do cobre,Outros
2449101,Produção de zinco em formas primárias,Indústria
2449102,Produção de laminados de zinco,Indústria
2449103,Fabricação de ânodos para galvanoplastia,Indústria
2449199,Metalurgia de outros metais não-ferrosos e suas ligas não especificados anteriormente,Outros
2451200,Fundição de ferro e aço,Indústria
2452100,Fundição de metais não-ferrosos e suas ligas,Indústria
2511000,Fabricação de estruturas metálicas,Indústria
2512800,Fabricação de esquadrias de metal,Indústria
2513600,Fabricação de obras de caldeiraria pesada,Indústria
2521700,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central",Indústria
2522500,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",Indústria
2531401,Produção de forjados de aço,Indústria
2531402,Produção de forjados de metais não-ferrosos e suas ligas,Indústria
2532201,Produção de artefatos estampados de metal,Indústria
2532202,Metalurgia do pó,Outros
2539000,"Serviços de usinagem, solda, tratamento e revestimento em metais",Serviços
2539001,"Serviços de usinagem, tornearia e solda",Serviços
2539002,Serviços de tratamento e revestimento em metais,Serviços
2541100,Fabricação de artigos de cutelaria,Indústria
2542000,"Fabricação de artigos de serralheria, exceto esquadrias",Indústria
2543800,Fabricação de ferramentas,Indústria
2550101,"Fabricação de equipamento bélico pesado, exceto veículos militares de combate",Indústria
2550102,"Fabricação de armas de fogo, outras armas e munições",Indústria
2591800,Fabricação de embalagens metálicas,Indústria
2592601,Fabricação de produtos de trefilados de metal padronizados,Indústria
2592602,"Fabricação de produtos de trefilados de metal, exceto padronizados",Indústria
2593400,Fabricação de artigos de metal para uso doméstico e pessoal,Indústria
2599301,Serviços de confecção de armações metálicas para a construção,Vestuário e Têxtil
2599302,Serviço de corte e dobra de metais,Construção
2599399,Fabricação de outros produtos de metal não especificados anteriormente,Indústria
2610800,Fabricação de componentes eletrônicos,Indústria
2621300,Fabricação de equipamentos de informática,Indústria
2622100,Fabricação de periféricos para equipamentos de informática,Indústria
2631100,"Fabricação de equipamentos transmissores de comunicação, peças e acessórios",Indústria
2632900,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios",Indústria
2640000,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",Indústria
2651500,"Fabricação de aparelhos e equipamentos de medida, teste e controle",Indústria
2652300,Fabricação de cronômetros e relógios,Indústria
2660400,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,Indústria
2670101,"Fabricação de equipamentos e instrumentos ópticos, peças e acessórios",Indústria
2670102,"Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios",Indústria
2680900,"Fabricação de mídias virgens, magnéticas e ópticas",Indústria
2710401,"Fabricação de geradores de corrente contínua e alternada, peças e acessórios",Indústria
2710402,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios",Indústria
2710403,"Fabricação de motores elétricos, peças e acessórios",Indústria
2721000,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores",Indústria
2722801,Fabricação de baterias e acumuladores para veículos automotores,Indústria
2722802,Recondicionamento de baterias e acumuladores para veículos automotores,Indústria
2731700,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,Indústria
2732500,Fabricação de material elétrico para instalações em circuito de consumo,Indústria
2733300,"Fabricação de fios, cabos e condutores elétricos isolados",Indústria
2740601,Fabricação de lâmpadas,Indústria
2740602,Fabricação de luminárias e outros equipamentos de iluminação,Indústria
2751100,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",Indústria
2759701,"Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios",Indústria
2759799,"Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios",Indústria
2790201,"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores",Indústria
2790202,Fabricação de equipamentos para sinalização e alarme,Indústria
2790299,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,Indústria
2811900,"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários",Indústria
